question,intent,clean_question
Reveal subcategory performance,sales_by_subcategory,reveal subcategory performance
Reveal overall worst region,worst_region,reveal overall worst region
Kindly calculate the total orders.,order_count,kindly calculate the total orders
Can you analyze delivery performance?,shipping_analysis,can you analyze delivery performance
Can I see top region?,best_region,can i see top region
Provide complete overall sales,total_sales,provide complete overall sales
Give me monthly revenue.,monthly_sales,give me monthly revenue
Create dashboard for growth in sales.,sales_growth,create dashboard for growth in sales
Please provide company profit.,total_profit,please provide company profit
Analyze performance of overall revenue.,total_sales,analyze performance of overall revenue
How much is the highest sales states?,top_states,how much is the highest sales states
Compute average gross profit,average_profit,compute average gross profit
Could you show the monthly earnings?,monthly_profit,could you show the monthly earnings
Provide detailed sales by subcategory.,sales_by_subcategory,provide detailed sales by subcategory
Can you give company profit?,total_profit,can you give company profit
Please show most profitable region.,best_region,please show most profitable region
Could you analyze the profit increase?,profit_growth,could you analyze the profit increase
Kindly provide the worst performing cities.,bottom_cities,kindly provide the worst performing cities
Please view average business profit.,average_profit,please view average business profit
Can I see the overall earnings?,total_profit,can i see the overall earnings
How much is total sales?,total_sales,how much is total sales
Calculate overall overall sales,total_sales,calculate overall overall sales
Can you compare category performance?,sales_by_category,can you compare category performance
Show overall most valuable customers,top_customers,show overall most valuable customers
